,评论,分类
799,且不说宝贝本身有多漂亮，但是这包装的细心和精美就是无可挑剔的！真的非常喜欢！大爱！,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
800,整体评价：爱了爱了，下次再买，如果有小样套装果断入 唇膏质地：挺润的，涂了不会干 实物颜色：颜值超级高啊，好好看,颜色分类:M116彤心绣（烂番茄色）
801,扫过码了，是正品哦～口红很漂亮，超nice，喜欢的朋友抓紧入手😁😁,颜色分类:M406檀心绣（豆沙色）
802,美炸！！！我是基三的**粉，现在是花西子的**粉！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
803,今天闺蜜生日，买来送她的，她很喜欢。,颜色分类:M122绛仙绣（红棕焦糖）
804,之前买了一只眼线笔和粉底液，感觉不错吧！刚好口红用完了，毫不犹豫选了花西子。但是收到货有点方，好大一个盒子，我以为给我寄了整套彩妆哦😂天气热，厂家考虑的很周到，用了冰袋，怪不得那么大一个盒子。颜色选的烂番茄，不错，显白，满意满意哦😊,颜色分类:M116彤心绣（烂番茄色）
805,一定要点个大大的赞！第一次买花西子的口红！为了我的秀姐！口红上嘴颜色太好看了！莫名觉得老娘最美那种感觉！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
806,已经是第二次给媳妇买了，老婆很喜欢他家的口红，特别精致！,颜色分类:M117红鸾绣（正红色）
807,保湿效果：滋润 包装大体好看,颜色分类:M407玉棠绣（微糖豆沙）
808,啊啊啊，太好看了！！不舍得用了咋整！！！喜欢喜欢😍,颜色分类:【剑网3比翼相思联名】 M122 相思绣
809,很喜欢，雕刻精美，不干涩润润的,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
810,整体评价：太好看了，之前买的妆奁里带了一支126号色，很好看，好用，又入手三支雕花 保湿效果：很好 唇膏质地：润 上嘴效果：显色度很好 实物颜色：非常漂亮,颜色分类:M122绛仙绣（红棕焦糖）
811,剑三玩家最后的倔强 (*≧▽≦) 颜色不怎么合适自己也要冲！！！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
812,保湿效果：还可以，不拔干 实物颜色：好看！,颜色分类:M407玉棠绣（微糖豆沙）
813,好好看啊！！开心。这个微雕真的好看！快递小哥也很迅速！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
814,胡萝卜这个颜色有点像MAC小辣椒，买了两款，左边是湘妃绣，颜色红色有一点偏橘。,颜色分类:M119湘妃绣（胡萝卜色）
815,今天收到了宝贝了，买来送人的，送了礼品袋，谢谢店家！,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
816,感觉这支雕花口红很好啦，快递包装很优秀，上唇质地很OK，吸铁石的设计也很喜，也没有什么奇奇怪怪的味道，保湿度很好，很自然 希望花西子这个国货品牌一直好下去，加油哦！以后会一直支持的嘻嘻,颜色分类:M122绛仙绣（红棕焦糖）
817,包装很紧实,颜色分类:M116彤心绣（烂番茄色）
818,口红有了，情缘有无？双一在线蹲一个情缘缘,颜色分类:【剑网3比翼相思联名】 M122 相思绣
819,颜色挺漂亮,颜色分类:M119湘妃绣（胡萝卜色）
820,对象好喜欢,颜色分类:M119湘妃绣（胡萝卜色）
821,不错，是正版，喜欢的朋友可以快点入手，比实体店便宜多了,颜色分类:M116彤心绣（烂番茄色）
822,哇！颜色超级棒，上唇不拔干，很滋润。之前就很想买了，这次终于拿到手了！一点都没有失望。,颜色分类:M602西子绣（半哑偏润草莓色）
823,哇！颜色超级棒，上唇不拔干，很滋润。之前就很想买了，这次终于拿到手了！一点都没有失望。,颜色分类:M408子期绣（红柚豆沙）
824,雕花真的绝了！颜色也炒鸡好看！！不喜欢艳的色号真的可以考虑124～,颜色分类:M124知音绣（栗子红棕）
825,还是很喜欢它的包装，小小的一支很大的包装，也送了一些小物件，去年也买了一支，今年又来买很喜欢这个颜色，就是瓶身和去年的不一样了，去年的是闪闪的，相对喜欢去年那款瓶身。,颜色分类:M116彤心绣（烂番茄色）
826,东西都不错，而且还有冰袋，看出来很用心，加油希望做的更好,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
827,宝贝收到了，看到包装就是高大上，太喜欢了，收藏了好长时间才买的，超级喜欢,颜色分类:M121凤鸾绣（经典正红色）
828,很喜欢这个磁扣设计啊 包装真的好浪漫好用心 还没有试色 送人的 应该不错😊 （物流超快 ！！！）,颜色分类:M116彤心绣（烂番茄色）
829,好漂亮，比心(｡･&omega;･｡)ﾉ♡,颜色分类:【剑网3比翼相思联名】 M122 相思绣
830,花西子不愧是今年的包括，口红颜色非常好看，雕花简直爱了爱了，然后为了防止中途口红被热化，还加了冰袋，非常贴心,颜色分类:M117红鸾绣（正红色）
831,整体评价：口红很好看 买来送好朋友的 她很喜欢,颜色分类:M119湘妃绣（胡萝卜色）
832,给妈妈买的口红 很合适 质地做工颜色都不错,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
833,还没用刚打开，要比大品牌的口红容量要小一截，期好用就行😁,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
834,好看 客服也超级友好  中途我想换个色号 客服也帮我处理了 客服芙蕖是个小可爱 真的超级好 口红也很好看 希望我们的国货 可以越做越好~,颜色分类:M407玉棠绣（微糖豆沙）
835,口红很好看，纠结了很久的颜色，还是采取了客服的意见。 音云服务态度不错&hellip; 奈斯！,颜色分类:M408子期绣（红柚豆沙）
836,这个颜色真好看，不张扬又显肤色,颜色分类:M407玉棠绣（微糖豆沙）
837,颜值特高，也很贴心。客服也很耐心。真滴是很很很喜欢😍！,颜色分类:M119湘妃绣（胡萝卜色）
838,就很好看，不干，有点不舍的用QAQ,颜色分类:【剑网3比翼相思联名】 M122 相思绣
839,非常漂亮。包装的非常细心很用心，害怕口红被融化，还放了冰袋，非常的好。,颜色分类:M602西子绣（半哑偏润草莓色）
840,爱了爱了！会继续关注花西子的产品！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
841,是理想中的产品，质量不错，物流也很快，值得点赞👍🏻,颜色分类:M408子期绣（红柚豆沙）
842,很好看，很喜欢，物流快！反正总体上是很🈵🈵🈵满意！,颜色分类:M116彤心绣（烂番茄色）
843,真空包装袋包装口红，外放冰袋致冷，整个包装精致、高大上！口红滋润适宜，颜色是自己最喜欢的，大爱！,颜色分类:M406檀心绣（豆沙色）
844,送给朋友的生日礼物，一直喜欢花西子，雕花特别美，大爱,颜色分类:M408子期绣（红柚豆沙）
845,整体评价：觉得very nice 保湿效果：很好 实物颜色：特别好看,颜色分类:M116彤心绣（烂番茄色）
846,送长辈的，她非常喜欢！店家也特别贴心，我说是送给别人的礼物，店家准备了手提袋！整体收到货从物流到外包装再到口红，都是非常满意！口红质感很好！,颜色分类:M121凤鸾绣（经典正红色）
847,&ldquo;妆&rdquo;我大剑三，仪式感满满，爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
848,整体评价：太漂亮了，之前买的妆奁带了一支雕花126号色，很好用，又入手三支 保湿效果：很好 唇膏质地：润 上嘴效果：显色度很好 实物颜色：太好看了,颜色分类:M407玉棠绣（微糖豆沙）
849,太贴心了，用冰袋包装邮寄过来的。口红本身颜值也高，雕花好细致，美的美的，舍不得用。,颜色分类:M406檀心绣（豆沙色）
850,此用户没有填写评论!,颜色分类:M124知音绣（栗子红棕）
851,为剑3定制款来的！！！雕花很棒！！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
852,此用户没有填写评论!,颜色分类:M119湘妃绣（胡萝卜色）
853,不错感觉质感很好挺值得,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
854,女朋友很喜欢，就这样,颜色分类:M407玉棠绣（微糖豆沙）
855,好看,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
856,好看,颜色分类:M117红鸾绣（正红色）
857,喜欢，好看！今天到货了,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
858,非常非常的喜欢。一次买个够,颜色分类:M408子期绣（红柚豆沙）
859,从包装到口红  精致到没谁了 好评,颜色分类:M116彤心绣（烂番茄色）
860,在抖音上看到有人用，感觉超好看。收到快递以后没想到盒子那么大 包装精致,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
861,此用户没有填写评论!,颜色分类:M122绛仙绣（红棕焦糖）
862,知道雕花口红工艺精细，但没想到这么细致，膏体实物线条和头发丝一样细，拿到的时候惊叹了好半天，太厉害了，正红颜色特别好看，显得人脸白，气色也好看了，第一次买正红色，不错的体验,颜色分类:M117红鸾绣（正红色）
863,黄皮也可以，不会奇怪,颜色分类:【剑网3比翼相思联名】 M122 相思绣
864,颜色很喜欢，磁力很大，还赠送了卸妆湿巾,颜色分类:M115御宫绣（复古红）
865,剑三玩家**打卡，超赞的，不仅颜值高，颜色和上唇感觉都超好的！爱了！（还好多买一只不然不舍得用orz,颜色分类:【剑网3比翼相思联名】 M122 相思绣
866,没有评论中那么好，还买了三支，只有一个色号是自己喜欢的，涂了颜色一会就掉没了，还有一支口红有点晃，好像要断,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
867,此用户没有填写评论!,颜色分类:M124知音绣（栗子红棕）
868,给闺蜜买的生日礼物，包装很好，还有个冰袋在里面，这么热的天也不怕融掉，这个色号也不错，良心,颜色分类:M116彤心绣（烂番茄色）
869,一只口红，结果收到了一个大大得包装，打开一看，居然用冰袋包着。好用心啊。颜色很好看。,颜色分类:M116彤心绣（烂番茄色）
870,包装特别好，还送了卸妆湿巾，口红颜色是我想要的，,颜色分类:M116彤心绣（烂番茄色）
871,不得不说包装很用心，至于产品怎么样，我也不知道，因为我不用，但感觉是很不错的。后面我问问用的人怎么样。,颜色分类:M408子期绣（红柚豆沙）
872,颜色好看，显白，不挑肤色，妹妹很喜欢,颜色分类:M116彤心绣（烂番茄色）
873,爱啦爱啦，太喜欢啦，好好漂亮的口红💄，颜色也好看，以后就用这款啦，必须好评😄,颜色分类:L102醉红绣（酒红色）
874,整体评价：非常不错。媳妇很喜欢。 保湿效果：保湿也是特别棒。,颜色分类:M116彤心绣（烂番茄色）
875,此用户没有填写评论!,颜色分类:M119湘妃绣（胡萝卜色）
876,宝贝收到了，老婆很满意,颜色分类:M408子期绣（红柚豆沙）
877,这个颜色太深了，可能是我唇色也深吧，不太适合夏天。想买偏粉红色的，但色号太多了，不知道哪个颜色涂出来什么效果。可能实际颜色和每个人唇色不同，涂出来的效果也不太一样。留着冬天用吧！,颜色分类:M117红鸾绣（正红色）
878,送给妈**礼物，非常喜欢花西子古色古香的设计，高大上不失中国韵味，价格也很合理。这是我第一次买花西子口红，现在的国货都这么夸张了吗？这也太稀罕人了！！！不比国际大牌差。以后国货会越来越好，支持！还有包装特别精美，复古又大牌的感觉，适合中国人自己的口红💄。以后24色必须配齐。提一点小建议，就是赠品的小盒子里的镜子要是再清晰一些就完美了。,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
879,颜值高的一直口红，买给闺蜜哒，希望锦鲤雕花带给我妹儿好运！,颜色分类:M118丹璃绣（红莓色）
880,送给朋友的，风格还挺好看的，必须要夸的是打包还有冰袋，超贴心，不会担心压变形融化啥的,颜色分类:M122绛仙绣（红棕焦糖）
881,上嘴效果：口红上嘴也太好看了保湿效果也挺好的,颜色分类:M602西子绣（半哑偏润草莓色）
882,包装很惊喜，特别好看，第一次买这个牌子的口红，很期待效果！,颜色分类:M406檀心绣（豆沙色）
883,还行,颜色分类:【剑网3比翼相思联名】 M122 相思绣
884,整体评价：外壳手感很不错，打开膏体是想象中的样子 保湿效果：还是比较滋润的，涂了一个小时了，还是润润的  上嘴效果：挺好上色的，颜色也很漂亮,颜色分类:M407玉棠绣（微糖豆沙）
